#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
8.81,8.75,2.23
8.94,8.76,2.23
8.99,8.78,2.24
9.06,8.79,2.25
9.11,8.81,2.25
8.88,8.82,2.25
8.97,8.83,2.25
9.05,8.84,2.25
9.00,8.85,2.25
8.99,8.86,2.24
9.88,8.93,2.24
9.84,8.98,2.24
9.44,9.01,2.24
10.98,9.14,2.25
8.32,9.09,2.25
9.52,9.12,2.25
8.78,9.09,2.20
8.82,9.07,2.14
8.93,9.06,2.08
9.00,9.06,2.02
9.05,9.06,1.97
9.00,9.05,1.93
8.77,9.03,1.89
7.21,8.90,1.85
11.30,9.08,1.83
9.82,9.13,1.81
9.32,9.15,1.78
8.92,9.13,1.77
8.77,9.10,1.75
9.03,9.10,1.71
9.09,9.10,1.66
8.97,9.09,1.62
9.02,9.08,1.59
9.47,9.11,1.55
6.82,8.92,1.53
11.60,9.14,1.51
10.16,9.23,1.49
9.51,9.25,1.48
9.05,9.23,1.46
8.86,9.20,1.45
8.98,9.18,1.44
8.90,9.16,1.43
9.04,9.15,1.42
9.03,9.14,1.41
8.97,9.13,1.40
9.05,9.12,1.39
8.18,9.04,1.38
9.06,9.04,1.38
9.26,9.06,1.37
8.16,8.99,1.36
8.64,8.96,1.36
9.20,8.98,1.35
9.15,8.99,1.35
8.90,8.99,1.34
8.93,8.98,1.34
9.04,8.98,1.34
9.02,8.99,1.33
8.97,8.99,1.33
8.33,8.93,1.33
8.63,8.91,1.33
11.83,9.15,1.33
10.30,9.25,1.33
8.84,9.21,1.34
9.38,9.23,1.34
8.69,9.18,1.34
8.87,9.16,1.34
8.88,9.13,1.34
9.00,9.12,1.34
9.05,9.12,1.34
9.05,9.11,1.34
9.50,9.14,1.34
13.59,9.51,1.35
12.41,9.74,1.37
8.88,9.67,1.39
8.54,9.58,1.40
8.92,9.53,1.41
9.23,9.51,1.42
8.67,9.44,1.43
9.00,9.41,1.44
9.28,9.40,1.45
9.00,9.37,1.45
9.03,9.34,1.46
9.17,9.33,1.46
7.86,9.21,1.47
3.75,8.79,1.50
8.57,8.78,1.51
10.24,8.89,1.53
8.25,8.84,1.54
9.74,8.91,1.56
8.88,8.90,1.57
9.04,8.91,1.58
9.22,8.94,1.59
8.97,8.94,1.60
9.05,8.95,1.61
9.08,8.96,1.62
17.12,9.55,1.67
9.37,9.53,1.73
9.47,9.53,1.77
9.55,9.53,1.81
8.84,9.48,1.85
9.22,9.47,1.89
8.83,9.42,1.92
9.03,9.40,1.94
9.19,9.38,1.97
8.98,9.36,1.99
8.97,9.33,2.01
9.09,9.32,2.03
8.93,9.29,2.05
18.62,9.88,2.12
13.60,10.10,2.20
9.54,10.07,2.27
9.01,10.01,2.33
9.00,9.95,2.38
8.89,9.89,2.43
8.90,9.83,2.48
9.08,9.79,2.52
9.02,9.75,2.55
9.18,9.71,2.59
9.05,9.68,2.62
8.93,9.64,2.65
8.03,9.55,2.67
8.92,9.51,2.68
11.25,9.61,2.69
9.83,9.62,2.69
9.34,9.60,2.70
9.23,9.58,2.70
8.91,9.55,2.70
9.09,9.52,2.70
8.75,9.47,2.71
9.03,9.45,2.71
9.01,9.42,2.71
8.94,9.40,2.71
8.05,9.32,2.71
6.98,9.18,2.72
9.21,9.18,2.70
8.67,9.15,2.69
9.18,9.16,2.67
9.38,9.17,2.66
8.93,9.15,2.65
9.02,9.15,2.63
8.78,9.12,2.62
8.89,9.11,2.61
8.98,9.10,2.61
9.11,9.10,2.60
9.01,9.10,2.59
10.76,9.20,2.54
6.85,9.05,2.49
10.51,9.15,2.45
9.55,9.17,2.42
8.85,9.15,2.39
8.88,9.13,2.36
8.55,9.09,2.34
9.12,9.10,2.31
8.94,9.09,2.29
8.84,9.07,2.27
9.03,9.07,2.26
8.98,9.06,2.24
8.96,9.05,2.23
8.22,9.00,2.15
8.03,8.93,2.07
11.39,9.11,2.00
9.73,9.15,1.93
9.13,9.15,1.88
