#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
7.18,8.97,4.09
7.18,8.87,3.92
18.94,9.43,3.85
11.36,9.54,3.78
6.74,9.38,3.72
8.38,9.33,3.66
5.26,9.10,3.62
5.32,8.88,3.59
4.60,8.64,3.58
6.32,8.52,3.57
7.00,8.43,3.54
7.81,8.40,3.51
9.32,8.45,3.49
5.69,8.29,3.47
7.92,8.27,3.46
6.73,8.19,3.44
1.04,7.80,3.46
6.27,7.72,3.48
4.65,7.55,3.49
6.90,7.52,3.49
19.61,8.15,3.59
5.84,8.03,3.68
11.91,8.22,3.76
7.49,8.19,3.84
9.49,8.25,3.91
5.09,8.10,3.96
6.54,8.02,4.00
8.87,8.06,4.03
4.37,7.89,4.08
11.50,8.06,4.12
8.56,8.08,4.16
7.96,8.08,4.19
5.67,7.97,4.21
5.76,7.86,4.23
7.54,7.85,4.25
-2.24,7.39,4.32
8.12,7.43,4.38
7.51,7.43,4.44
5.32,7.34,4.49
10.08,7.46,4.54
7.21,7.45,4.59
7.73,7.46,4.63
0.73,7.17,4.69
6.83,7.15,4.75
11.39,7.33,4.80
7.39,7.34,4.86
9.26,7.42,4.90
9.65,7.51,4.95
19.61,8.01,5.05
12.88,8.21,5.16
9.15,8.24,5.25
8.29,8.24,5.33
14.25,8.48,5.38
6.49,8.40,5.42
9.25,8.44,5.46
12.31,8.59,5.49
8.31,8.58,5.52
4.83,8.43,5.54
9.13,8.46,5.56
10.85,8.55,5.57
9.75,8.60,5.58
11.94,8.73,5.59
8.67,8.73,5.61
1.09,8.43,5.64
4.92,8.29,5.67
4.70,8.15,5.71
10.15,8.23,5.72
-4.47,7.73,5.80
3.75,7.58,5.86
3.76,7.43,5.93
11.59,7.59,5.94
10.27,7.69,5.95
11.42,7.84,5.96
6.45,7.78,5.97
15.01,8.06,6.00
7.71,8.05,6.02
9.58,8.11,6.04
8.87,8.14,6.05
11.24,8.26,6.07
0.46,7.96,6.10
6.73,7.91,6.13
12.11,8.07,6.16
15.72,8.36,6.20
9.89,8.42,6.24
9.26,8.45,6.28
2.63,8.23,6.29
0.78,7.95,6.31
6.71,7.90,6.34
8.50,7.93,6.36
11.77,8.07,6.38
9.23,8.11,6.40
7.88,8.11,6.42
8.19,8.11,6.42
7.97,8.10,6.42
8.11,8.10,6.42
9.40,8.15,6.41
10.04,8.22,6.41
9.33,8.27,6.40
7.83,8.25,6.34
11.17,8.36,6.28
3.21,8.16,6.23
5.72,8.07,6.19
6.99,8.02,6.15
8.24,8.03,6.10
8.95,8.07,6.06
5.80,7.98,6.02
6.35,7.91,5.98
9.48,7.97,5.94
8.86,8.01,5.91
7.94,8.01,5.87
9.41,8.07,5.84
10.13,8.15,5.81
9.61,8.21,5.79
8.12,8.21,5.74
5.44,8.09,5.69
2.95,7.87,5.65
3.18,7.68,5.63
6.94,7.64,5.52
6.81,7.61,5.42
3.37,7.42,5.33
5.40,7.33,5.24
7.75,7.35,5.16
8.01,7.38,5.07
7.41,7.38,4.99
9.54,7.48,4.90
7.00,7.46,4.81
6.91,7.43,4.73
5.98,7.36,4.66
6.29,7.31,4.59
6.65,7.28,4.49
6.82,7.25,4.40
9.95,7.39,4.31
7.43,7.39,4.19
5.95,7.32,4.08
8.49,7.38,3.99
7.80,7.40,3.88
8.96,7.49,3.74
8.35,7.54,3.62
11.10,7.74,3.51
7.97,7.76,3.41
5.65,7.63,3.32
5.54,7.51,3.24
6.22,7.43,3.17
6.52,7.37,3.11
19.61,8.10,3.16
18.05,8.67,3.26
6.95,8.58,3.36
7.59,8.53,3.44
6.96,8.44,3.51
7.15,8.38,3.58
4.21,8.16,3.63
5.83,8.05,3.68
7.03,7.99,3.72
