#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
8.45,9.12,2.30
7.47,9.02,2.29
8.40,8.98,2.29
12.50,9.20,2.29
14.75,9.56,2.31
11.26,9.66,2.32
8.57,9.60,2.34
7.44,9.46,2.35
7.39,9.33,2.36
6.75,9.17,2.37
8.73,9.14,2.39
14.26,9.46,2.39
7.50,9.34,2.40
10.20,9.39,2.40
6.10,9.19,2.41
19.61,9.83,2.43
7.76,9.70,2.45
7.72,9.58,2.46
8.77,9.53,2.47
9.40,9.52,2.48
5.41,9.27,2.49
8.72,9.24,2.49
10.15,9.30,2.50
8.60,9.25,2.51
8.04,9.18,2.49
6.52,9.02,2.48
7.22,8.91,2.47
9.15,8.92,2.46
6.52,8.77,2.45
7.54,8.70,2.44
7.76,8.64,2.43
9.35,8.68,2.43
8.18,8.65,2.42
2.03,8.24,2.44
8.24,8.24,2.45
9.15,8.30,2.46
8.95,8.34,2.47
9.12,8.38,2.48
8.48,8.39,2.49
8.21,8.38,2.49
8.15,8.36,2.50
7.91,8.34,2.50
3.43,8.04,2.52
9.30,8.12,2.53
7.91,8.10,2.54
9.42,8.18,2.55
9.64,8.27,2.56
8.62,8.29,2.57
12.96,8.57,2.59
6.19,8.43,2.61
5.87,8.28,2.63
8.28,8.28,2.65
8.07,8.26,2.66
8.55,8.28,2.66
14.05,8.62,2.67
8.96,8.64,2.67
7.40,8.57,2.67
8.93,8.59,2.67
8.09,8.56,2.67
8.21,8.54,2.66
6.60,8.42,2.66
11.48,8.60,2.65
12.24,8.82,2.64
8.68,8.81,2.64
7.65,8.74,2.63
7.45,8.66,2.56
7.12,8.57,2.50
8.17,8.54,2.45
6.89,8.43,2.41
7.08,8.35,2.37
6.23,8.21,2.33
16.55,8.75,2.34
6.69,8.62,2.35
7.03,8.52,2.36
7.46,8.45,2.36
5.16,8.24,2.37
9.17,8.30,2.38
7.91,8.27,2.38
7.80,8.24,2.38
1.86,7.84,2.40
14.85,8.28,2.45
5.31,8.10,2.49
8.29,8.11,2.53
8.26,8.12,2.54
12.16,8.36,2.55
8.88,8.39,2.56
8.32,8.38,2.57
10.43,8.50,2.59
5.20,8.31,2.60
6.57,8.21,2.62
7.34,8.16,2.63
19.61,8.81,2.71
9.33,8.84,2.77
8.78,8.84,2.82
6.52,8.71,2.86
11.36,8.85,2.90
8.28,8.82,2.94
6.41,8.69,2.97
6.13,8.55,2.99
8.03,8.53,3.00
16.59,8.96,3.04
11.94,9.11,3.09
4.90,8.89,3.13
2.79,8.58,3.19
4.73,8.38,3.23
6.95,8.31,3.27
16.77,8.73,3.33
9.59,8.78,3.39
12.30,8.95,3.45
3.51,8.68,3.52
6.31,8.57,3.57
8.45,8.56,3.61
10.10,8.64,3.64
9.42,8.67,3.67
8.12,8.65,3.69
7.43,8.59,3.71
8.33,8.58,3.72
8.96,8.60,3.74
7.37,8.54,3.75
8.16,8.52,3.75
8.84,8.53,3.76
9.74,8.59,3.72
9.42,8.63,3.69
7.59,8.58,3.66
8.99,8.60,3.64
8.32,8.59,3.61
8.24,8.57,3.59
8.66,8.58,3.57
9.22,8.61,3.55
8.48,8.60,3.52
18.14,9.10,3.51
6.56,8.97,3.50
8.20,8.93,3.49
