#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
8.45,8.91,1.74
10.01,8.99,1.74
10.08,9.07,1.73
8.60,9.04,1.73
8.88,9.03,1.73
9.34,9.05,1.73
9.64,9.09,1.73
9.17,9.10,1.72
9.62,9.14,1.71
9.36,9.16,1.70
9.82,9.20,1.69
7.87,9.10,1.69
9.47,9.13,1.68
10.28,9.22,1.68
9.46,9.24,1.68
8.75,9.20,1.67
8.89,9.18,1.67
9.32,9.19,1.67
9.67,9.22,1.67
9.63,9.25,1.66
9.10,9.24,1.66
7.33,9.10,1.66
9.71,9.14,1.66
6.07,8.91,1.66
10.50,9.03,1.65
9.99,9.11,1.64
8.86,9.09,1.64
4.26,8.72,1.64
9.25,8.76,1.65
9.09,8.79,1.65
9.71,8.86,1.66
9.49,8.90,1.66
8.19,8.85,1.67
8.57,8.83,1.66
11.10,9.00,1.65
6.95,8.85,1.65
9.95,8.93,1.64
8.80,8.92,1.63
9.73,8.98,1.63
9.05,8.99,1.62
8.54,8.95,1.62
8.68,8.93,1.61
9.61,8.98,1.61
9.57,9.03,1.61
9.30,9.05,1.60
6.29,8.84,1.61
10.86,8.99,1.61
8.13,8.93,1.61
10.62,9.05,1.62
10.32,9.15,1.62
10.20,9.23,1.62
9.67,9.26,1.63
9.88,9.31,1.63
9.09,9.29,1.63
9.25,9.29,1.63
9.41,9.30,1.63
9.41,9.31,1.63
9.60,9.33,1.64
8.88,9.30,1.64
8.96,9.27,1.64
8.96,9.25,1.64
8.73,9.21,1.64
8.67,9.17,1.64
10.21,9.25,1.63
9.27,9.25,1.63
8.45,9.19,1.63
9.53,9.21,1.63
9.57,9.24,1.63
9.41,9.25,1.63
9.56,9.28,1.63
9.92,9.32,1.63
8.86,9.29,1.63
11.00,9.42,1.63
5.62,9.13,1.63
7.88,9.04,1.64
12.49,9.30,1.64
8.81,9.26,1.65
10.19,9.33,1.64
9.10,9.31,1.64
8.41,9.25,1.63
9.12,9.24,1.63
9.40,9.25,1.62
9.54,9.27,1.62
6.82,9.09,1.62
9.55,9.12,1.62
6.95,8.96,1.62
8.45,8.92,1.61
10.29,9.02,1.61
10.51,9.13,1.61
9.63,9.17,1.61
9.36,9.19,1.61
8.63,9.14,1.61
8.77,9.12,1.61
9.37,9.14,1.61
9.50,9.16,1.61
9.36,9.18,1.61
8.28,9.11,1.60
7.52,8.99,1.60
10.27,9.09,1.60
5.81,8.84,1.60
10.42,8.96,1.60
9.57,9.00,1.60
9.02,9.00,1.60
7.97,8.93,1.61
8.74,8.91,1.61
8.99,8.92,1.61
9.53,8.96,1.61
9.50,9.01,1.61
