#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
6.57,8.38
6.53,8.13
13.37,8.82
2.11,7.94
7.33,7.86
5.98,7.61
9.05,7.80
11.76,8.32
0.47,7.29
7.50,7.32
11.25,7.83
5.52,7.53
10.25,7.89
7.93,7.89
9.50,8.11
6.94,7.95
3.12,7.32
0.34,6.40
4.38,6.13
8.14,6.40
-0.57,5.48
8.13,5.83
3.70,5.55
6.95,5.73
7.32,5.94
9.43,6.40
9.60,6.82
8.71,7.07
11.78,7.69
6.68,7.56
11.08,8.02
14.22,8.84
6.52,8.53
8.85,8.58
10.21,8.79
7.46,8.62
8.99,8.66
9.44,8.77
17.96,9.98
17.85,11.01
11.26,11.05
10.34,10.95
4.86,10.15
14.03,10.66
8.05,10.32
3.74,9.45
2.42,8.52
9.43,8.64
7.69,8.52
7.13,8.34
4.11,7.78
4.70,7.37
10.01,7.72
5.87,7.48
11.24,7.97
26.10,10.36
13.74,10.81
11.77,10.93
11.59,11.02
4.78,10.20
9.18,10.06
6.93,9.65
5.68,9.13
15.06,9.91
27.13,12.18
23.24,13.64
7.95,12.89
6.68,12.07
3.98,11.00
2.67,9.90
13.61,10.39
7.81,10.05
5.10,9.40
4.25,8.72
6.57,8.44
5.43,8.04
12.07,8.57
6.46,8.30
5.60,7.94
13.67,8.70
9.57,8.81
12.45,9.29
8.06,9.13
5.62,8.67
6.80,8.42
10.73,8.72
6.68,8.45
9.49,8.59
3.41,7.91
10.64,8.27
7.05,8.11
16.61,9.23
7.52,9.00
7.76,8.84
5.49,8.40
5.12,7.97
21.64,9.77
1.99,8.74
10.98,9.04
4.98,8.50
9.44,8.63
7.17,8.43
9.17,8.53
8.90,8.58
19.13,9.97
11.26,10.14
11.28,10.29
29.29,12.79
8.48,12.22
8.06,11.68
6.30,10.97
7.54,10.52
4.60,9.74
3.75,8.95
8.96,8.95
13.03,9.49
4.51,8.83
7.31,8.63
7.04,8.42
4.52,7.91
0.28,6.90
5.91,6.77
6.45,6.73
10.61,7.24
28.15,10.00
8.20,9.76
8.96,9.65
10.34,9.74
6.23,9.28
12.84,9.75
8.60,9.60
8.07,9.40
10.77,9.58
-3.39,7.87
6.14,7.64
5.32,7.34
9.33,7.60
3.89,7.11
3.67,6.66
-2.26,5.48
8.75,5.91
16.63,7.33
3.62,6.84
8.45,7.05
6.11,6.93
8.68,7.16
11.29,7.70
6.34,7.52
3.91,7.05
10.74,7.53
10.01,7.86
3.41,7.27
10.52,7.70
8.81,7.85
12.75,8.49
-1.07,7.23
-1.85,6.04
9.72,6.52
33.16,10.03
9.22,9.93
9.50,9.87
10.77,9.99
7.71,9.69
9.34,9.64
-3.72,7.88
8.25,7.93
10.54,8.27
5.50,7.91
7.21,7.82
8.01,7.84
8.20,7.89
10.18,8.19
12.83,8.80
14.26,9.52
13.12,10.00
12.21,10.29
0.47,8.99
10.12,9.14
8.84,9.10
7.84,8.94
8.78,8.92
6.28,8.57
10.68,8.85
7.08,8.61
11.71,9.02
5.76,8.59
8.20,8.54
8.51,8.54
8.27,8.50
3.02,7.78
4.22,7.31
10.48,7.73
10.75,8.13
6.99,7.98
10.07,8.25
7.87,8.20
5.22,7.81
18.08,9.16
13.40,9.72
8.94,9.62
8.87,9.52
9.00,9.45
8.58,9.33
6.48,8.96
3.70,8.27
7.33,8.14
9.07,8.27
11.89,8.74
16.92,9.82
8.95,9.71
7.52,9.42
10.21,9.52
4.18,8.82
4.58,8.26
6.92,8.08
10.91,8.46
9.74,8.63
9.44,8.73
7.96,8.63
5.93,8.27
6.48,8.04
8.61,8.11
8.60,8.18
11.01,8.55
7.67,8.43
5.48,8.04
7.54,7.98
8.85,8.09
3.54,7.49
0.43,6.56
7.22,6.65
9.32,7.00
10.86,7.51
13.91,8.35
9.37,8.49
9.25,8.59
6.96,8.37
4.64,7.88
13.08,8.57
11.80,8.99
10.54,9.20
8.08,9.05
7.09,8.79
7.43,8.61
8.38,8.58
2.56,7.79
7.16,7.70
9.25,7.91
10.55,8.26
11.31,8.66
8.60,8.65
9.35,8.74
7.25,8.55
3.84,7.93
2.51,7.21
17.00,8.50
12.35,9.01
7.05,8.75
15.48,9.64
10.27,9.72
9.43,9.68
7.67,9.42
8.59,9.31
9.08,9.28
10.24,9.41
12.02,9.75
11.20,9.94
8.92,9.81
9.36,9.75
8.23,9.55
8.75,9.44
13.04,9.92
12.98,10.32
9.78,10.25
7.66,9.91
12.96,10.31
8.49,10.07
6.91,9.65
12.79,10.07
19.62,11.33
12.48,11.48
11.17,11.44
7.26,10.89
11.74,11.00
7.32,10.51
6.92,10.04
22.17,11.64
6.03,10.90
10.23,10.81
10.11,10.72
9.52,10.56
8.10,10.24
7.69,9.90
9.34,9.83
11.61,10.06
9.77,10.02
9.03,9.89
9.94,9.90
8.72,9.74
10.73,9.87
8.90,9.75
9.04,9.65
8.53,9.50
7.82,9.28
16.08,10.18
9.17,10.04
10.25,10.07
22.96,11.77
8.66,11.36
8.82,11.02
8.31,10.67
4.38,9.84
2.70,8.90
3.06,8.13
7.76,8.08
10.84,8.44
10.65,8.73
7.76,8.61
10.45,8.85
9.61,8.95
9.85,9.07
4.54,8.47
4.91,8.00
9.98,8.26
9.28,8.40
10.95,8.73
4.61,8.19
9.08,8.31
9.12,8.41
7.08,8.24
9.13,8.36
7.45,8.24
6.90,8.06
9.33,8.23
11.00,8.59
14.81,9.41
6.68,9.05
13.55,9.65
9.80,9.67
13.75,10.20
-2.59,8.52
7.06,8.33
9.73,8.51
6.72,8.27
3.51,7.65
8.41,7.75
10.71,8.14
4.73,7.69
8.41,7.78
40.58,12.11
17.89,12.87
13.84,12.99
20.73,14.01
10.36,13.53
7.38,12.72
9.33,12.27
-3.17,10.24
-3.41,8.44
9.72,8.61
10.78,8.89
2.65,8.07
7.35,7.98
8.63,8.06
10.47,8.38
8.68,8.42
1.02,7.44
9.41,7.70
8.82,7.85
10.09,8.14
8.86,8.24
9.39,8.39
6.14,8.09
4.91,7.67
1.67,6.88
48.13,12.32
18.97,13.20
10.74,12.87
5.26,11.87
7.12,11.24
9.42,11.00
6.79,10.45
14.50,10.98
19.78,12.14
13.12,12.27
11.87,12.22
14.40,12.50
0.89,10.97
8.94,10.71
8.60,10.43
5.21,9.74
6.93,9.37
0.18,8.16
0.43,7.14
16.30,8.35
7.97,8.30
14.43,9.11
8.49,9.02
13.74,9.65
9.90,9.68
8.58,9.54
3.14,8.69
7.18,8.49
13.23,9.12
8.42,9.03
6.65,8.71
6.50,8.42
6.73,8.20
17.73,9.45
0.50,8.27
35.81,11.90
14.27,12.21
30.81,14.67
8.29,13.83
4.26,12.57
13.91,12.74
8.53,12.19
12.47,12.22
41.54,16.09
16.20,16.10
10.56,15.37
2.50,13.68
2.04,12.14
7.86,11.58
5.98,10.84
9.50,10.66
8.04,10.32
8.64,10.10
9.91,10.07
11.05,10.20
14.08,10.71
9.43,10.54
6.45,10.00
6.76,9.58
4.36,8.89
5.06,8.38
10.95,8.72
11.57,9.10
6.75,8.79
9.17,8.84
9.52,8.93
9.71,9.03
10.38,9.21
8.92,9.17
9.54,9.22
9.41,9.24
