Variance,Std_Dev,Label_R
0.000156,0.012489996,0.01
0.000156,0.012489996,0.01
0.000156,0.012489996,0.01
0.000169,0.013,0.01
0.000121,0.011,0.01
0.000136,0.011661904,0.01
0.000136,0.011661904,0.01
0.000129,0.011357817,0.01
0.000161,0.012688578,0.01
0.000144,0.012,0.01
7.6e-05,0.008717798,0.01
6.9e-05,0.008306624,0.01
6.9e-05,0.008306624,0.01
6.1e-05,0.00781025,0.01
7.6e-05,0.008717798,0.01
6.4e-05,0.008,0.01
0.000169,0.013,0.01
0.000256,0.016,0.01
0.000204,0.014282857,0.01
0.000205,0.014317821,0.01
0.000196,0.014,0.01
0.000229,0.015132746,0.01
0.000216,0.014696938,0.01
0.000216,0.014696938,0.01
0.00026,0.016124515,0.01
0.000216,0.014696938,0.01
0.000216,0.014696938,0.01
0.000216,0.014696938,0.01
0.00022,0.014832397,0.01
0.000256,0.016,0.01
0.00026,0.016124515,0.01
0.000221,0.014866069,0.01
0.000224,0.01496663,0.01
0.000196,0.014,0.01
0.000169,0.013,0.01
0.000201,0.014177447,0.01
0.000145,0.012041595,0.01
0.000136,0.011661904,0.01
0.00014,0.01183216,0.01
0.000124,0.011135529,0.01
0.000169,0.013,0.01
0.000196,0.014,0.01
0.000264,0.016248077,0.01
0.000265,0.016278821,0.01
0.000256,0.016,0.01
0.000244,0.015620499,0.01
0.000244,0.015620499,0.01
0.000245,0.015652476,0.01
0.000264,0.016248077,0.01
0.000276,0.016613248,0.01
0.000184,0.01356466,0.01
0.000181,0.013453624,0.01
0.000236,0.015362291,0.01
0.000264,0.016248077,0.01
0.000244,0.015620499,0.01
0.000181,0.013453624,0.01
0.000205,0.014317821,0.01
0.000301,0.017349352,0.01
0.000324,0.018,0.01
0.000345,0.018574176,0.01
0.000364,0.019078784,0.01
0.000385,0.019621417,0.01
0.000321,0.017916473,0.01
0.0003,0.017320508,0.01
0.000296,0.017204651,0.01
0.000269,0.016401219,0.01
0.000269,0.016401219,0.01
0.000216,0.014696938,0.01
0.00018,0.013416408,0.01
0.000141,0.011874342,0.01
8.5e-05,0.009219544,0.01
8.5e-05,0.009219544,0.01
7.6e-05,0.008717798,0.01
0.000169,0.013,0.01
0.000176,0.013266499,0.01
0.000269,0.016401219,0.01
0.000269,0.016401219,0.01
0.000256,0.016,0.01
0.000249,0.015779734,0.01
