#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
2492621,8.62,-0.85,12.46,0.94,0.06,-0.21
2492631,8.26,-1.04,11.39,1.01,0.07,-0.44
2492641,7.82,-1.16,10.08,1.05,0.13,-0.69
2492651,6.94,-1.28,8.55,1.05,0.17,-0.94
2492661,5.04,-1.14,7.20,1.01,0.15,-1.14
2492671,3.26,-1.06,5.80,0.92,0.13,-1.28
2492681,1.37,-0.89,4.25,0.78,0.11,-1.37
2492691,-0.31,-0.62,3.08,0.60,0.05,-1.39
2492701,-1.98,-0.22,2.25,0.37,0.01,-1.36
2492711,-3.00,0.02,1.76,0.15,-0.01,-1.31
2492721,-3.98,0.25,1.71,-0.10,-0.01,-1.25
2492731,-5.28,0.44,2.22,-0.33,0.01,-1.20
2492741,-6.98,0.76,3.14,-0.51,0.02,-1.11
2492751,-8.71,1.24,3.88,-0.62,-0.00,-0.95
2492761,-10.27,1.67,4.39,-0.71,-0.04,-0.72
2492771,-11.37,1.87,4.63,-0.80,-0.03,-0.40
2492781,-11.59,1.94,5.26,-0.93,-0.02,-0.04
2492791,-10.84,1.96,6.77,-1.04,0.01,0.32
2492801,-9.48,2.04,8.76,-1.09,0.01,0.62
2492811,-8.09,2.29,10.57,-1.05,-0.02,0.86
2492821,-6.94,2.43,11.83,-0.94,-0.04,1.05
2492831,-5.65,2.43,12.65,-0.84,-0.08,1.23
2492841,-3.89,2.29,13.60,-0.75,-0.19,1.38
2492851,-2.12,2.04,14.86,-0.64,-0.24,1.49
2492861,0.00,1.82,16.34,-0.49,-0.23,1.55
2492871,2.50,1.56,17.86,-0.26,-0.20,1.52
2492881,4.30,1.29,18.42,0.03,-0.14,1.39
2492891,5.60,0.79,18.03,0.31,-0.08,1.22
2492901,6.41,0.41,17.18,0.56,-0.04,1.03
2492911,7.02,0.15,16.06,0.75,-0.03,0.82
