#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
821811,-1.11,0.53,9.04,0.03,-0.02,0.00
821821,-1.08,0.55,9.09,0.03,-0.02,0.00
821831,-1.06,0.55,9.07,0.03,-0.02,0.01
821841,-1.04,0.54,9.11,0.03,-0.01,0.01
821851,-1.05,0.52,9.10,0.03,-0.01,0.01
821861,-1.07,0.49,9.09,0.03,-0.00,0.01
821871,-1.11,0.48,9.08,0.03,0.00,0.00
821881,-1.12,0.46,9.08,0.03,0.00,0.01
821891,-1.15,0.48,9.08,0.03,-0.01,0.00
821901,-1.14,0.50,9.07,0.03,-0.01,0.00
821911,-1.12,0.53,9.07,0.03,-0.02,0.00
821921,-1.06,0.54,9.08,0.03,-0.02,0.00
821931,-1.07,0.54,9.05,0.03,-0.02,0.00
821941,-1.05,0.53,9.05,0.03,-0.01,0.01
821951,-1.07,0.54,9.09,0.03,-0.00,0.01
821961,-1.09,0.49,9.06,0.03,0.00,0.00
821971,-1.11,0.48,9.09,0.03,-0.00,0.00
821981,-1.12,0.49,9.08,0.04,-0.01,0.00
821991,-1.12,0.49,9.08,0.03,-0.02,0.00
822001,-1.11,0.48,9.08,0.03,-0.02,0.00
822011,-1.09,0.49,9.10,0.03,-0.01,0.00
822021,-1.06,0.51,9.09,0.03,-0.01,0.01
822031,-1.05,0.50,9.10,0.03,-0.01,0.01
822041,-1.08,0.51,9.10,0.03,-0.01,0.00
822051,-1.09,0.51,9.09,0.03,-0.01,0.01
822061,-1.10,0.51,9.06,0.03,-0.01,0.00
822071,-1.12,0.50,9.07,0.03,-0.01,0.00
822081,-1.12,0.52,9.07,0.03,-0.01,0.00
822091,-1.12,0.53,9.06,0.03,-0.01,0.00
822101,-1.09,0.54,9.08,0.03,-0.01,0.00
822111,-1.09,0.52,9.12,0.03,-0.01,0.00
822121,-1.06,0.50,9.10,0.03,-0.01,0.01
822131,-1.08,0.48,9.11,0.03,-0.01,0.01
822141,-1.08,0.48,9.10,0.03,-0.01,0.00
822151,-1.09,0.47,9.07,0.03,-0.01,0.00
822161,-1.09,0.50,9.09,0.03,-0.01,0.00
822171,-1.10,0.51,9.09,0.03,-0.01,0.00
822181,-1.12,0.51,9.07,0.03,-0.01,0.00
822191,-1.11,0.51,9.08,0.03,-0.01,0.00
822201,-1.09,0.51,9.04,0.03,-0.01,0.00
822211,-1.08,0.54,9.10,0.03,-0.01,0.00
822221,-1.07,0.56,9.08,0.03,-0.01,0.00
822231,-1.09,0.55,9.09,0.03,-0.01,0.00
822241,-1.08,0.52,9.10,0.03,-0.01,0.00
822251,-1.11,0.49,9.08,0.03,-0.01,0.00
822261,-1.11,0.48,9.06,0.03,-0.01,0.00
822271,-1.10,0.48,9.06,0.03,-0.01,0.01
822281,-1.11,0.47,9.09,0.03,-0.01,0.00
822291,-1.10,0.48,9.07,0.03,-0.01,0.01
822301,-1.07,0.52,9.07,0.03,-0.01,0.01
822311,-1.06,0.53,9.07,0.03,-0.02,0.00
822321,-1.06,0.54,9.10,0.03,-0.01,0.00
822331,-1.07,0.53,9.06,0.03,-0.01,0.00
822341,-1.10,0.54,9.07,0.03,-0.00,0.00
822351,-1.11,0.54,9.08,0.04,-0.00,0.00
822361,-1.13,0.53,9.09,0.03,-0.01,0.00
822371,-1.13,0.53,9.07,0.03,-0.01,0.00
822381,-1.12,0.51,9.07,0.03,-0.01,0.00
822391,-1.09,0.49,9.09,0.03,-0.01,0.00
822401,-1.08,0.48,9.10,0.03,-0.01,0.00
822411,-1.07,0.47,9.10,0.03,-0.01,0.01
822421,-1.04,0.49,9.10,0.03,-0.01,0.01
822431,-1.07,0.51,9.09,0.03,-0.01,0.00
822441,-1.07,0.51,9.07,0.03,-0.01,0.00
822451,-1.09,0.51,9.06,0.03,-0.00,0.00
822461,-1.13,0.49,9.10,0.03,-0.00,0.00
822471,-1.13,0.50,9.10,0.03,-0.01,0.00
822481,-1.12,0.50,9.09,0.03,-0.01,0.00
822491,-1.10,0.51,9.07,0.03,-0.02,0.00
822501,-1.08,0.51,9.07,0.03,-0.01,0.00
822511,-1.07,0.51,9.07,0.03,-0.01,0.00
822521,-1.10,0.53,9.09,0.03,-0.01,0.00
822531,-1.11,0.54,9.08,0.03,-0.01,0.00
822541,-1.08,0.51,9.10,0.03,-0.01,0.00
822551,-1.09,0.50,9.08,0.03,-0.01,0.00
822561,-1.11,0.50,9.10,0.03,-0.01,0.00
822571,-1.09,0.50,9.08,0.03,-0.01,0.00
822581,-1.09,0.51,9.10,0.03,-0.01,0.00
822591,-1.08,0.50,9.07,0.03,-0.01,0.00
822601,-1.09,0.51,9.07,0.03,-0.01,0.00
822611,-1.09,0.52,9.05,0.03,-0.01,0.01
822621,-1.07,0.51,9.06,0.03,-0.01,0.00
822631,-1.08,0.51,9.07,0.03,-0.01,0.00
822641,-1.07,0.51,9.09,0.03,-0.01,0.00
822651,-1.08,0.51,9.10,0.03,-0.01,0.00
822661,-1.08,0.50,9.09,0.03,-0.01,0.00
822671,-1.08,0.51,9.09,0.03,-0.01,0.00
822681,-1.09,0.51,9.07,0.03,-0.01,0.00
